"","year","ramo","rr","mdpRR","clase_texto","rrC","tot","gdpCorriente","invPctGdp","pct","pctGdp"
"1","1980","Adeudos de Ejercicios Fiscales Anteriores",30,38.1,"Ramos Generales",1,1450.9,5390,26.64,2.62595630298435,0.706864564007421
"2","1980","Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",8,97.5,"Ramos Administrativos",1,1450.9,5390,26.64,6.71996691708595,1.80890538033395
"3","1980","Aportaciones a Seguridad Social",19,0,"Ramos Generales",1,1450.9,5390,26.64,0,0
"4","1980","Aportaciones Federales para Entidades Federativas y Municipios",33,0,"Ramos Generales",1,1450.9,5390,26.64,0,0
"6","1980","Comisión Federal de Competencia Económica",41,0,"Ramos autónomos",1,1450.9,5390,26.64,0,0
"7","1980","Comisión Federal de Electricidad",48,0,"Organismos y Empresas",1,1450.9,5390,26.64,0,0
"8","1980","Comisión Nacional de los Derechos Humanos",35,0,"Ramos autónomos",1,1450.9,5390,26.64,0,0
"9","1980","Comunicaciones y Transportes",9,126.8,"Ramos Administrativos",1,1450.9,5390,26.64,8.73940312909229,2.35250463821892
"10","1980","Consejería Jurídica del Ejecutivo Federal",37,0,"Ramos Administrativos",1,1450.9,5390,26.64,0,0
"11","1980","Consejo Nacional de Ciencia y Tecnología",38,0,"Ramos Administrativos",1,1450.9,5390,26.64,0,0
"14","1980","Defensa Nacional",7,12.6,"Ramos Administrativos",1,1450.9,5390,26.64,0.868426493900338,0.233766233766234
"15","1980","Desarrollo Social y productivo",26,0,"Ramos Administrativos",1,1450.9,5390,26.64,0,0
"16","1980","Desarrollo Social",20,36.3,"Ramos Administrativos",1,1450.9,5390,26.64,2.50189537528431,0.673469387755102
"18","1980","Deuda Pública",24,145.6,"Ramos Generales",1,1450.9,5390,26.64,10.0351505961817,2.7012987012987
"19","1980","Economía",10,42.7,"Ramos Administrativos",1,1450.9,5390,26.64,2.94300089599559,0.792207792207792
"20","1980","Educación Pública",11,140,"Ramos Administrativos",1,1450.9,5390,26.64,9.64918326555931,2.5974025974026
"21","1980","Energía",18,0,"Ramos Administrativos",1,1450.9,5390,26.64,0,0
"22","1980","Entidades de control presupuestario directo",103,401.8,"Organismos y Empresas",1,1450.9,5390,26.64,27.6931559721552,7.45454545454546
"23","1980","Erogaciones Adicionales",100,52.4,"Ramos Administrativos",1,1450.9,5390,26.64,3.61155145082363,0.972170686456401
"24","1980","Erogaciones no sectorizables",101,0,"Ramos Administrativos",1,1450.9,5390,26.64,0,0
"25","1980","Erogaciones para los Programas de Apoyo a Ahorradores y Deudores de la Banca",34,0,"Ramos Generales",1,1450.9,5390,26.64,0,0
"26","1980","Erogaciones para Operaciones de Sanemiento Financiero",29,0,"Ramos Generales",1,1450.9,5390,26.64,0,0
"28","1980","Función Pública",27,0,"Ramos Administrativos",1,1450.9,5390,26.64,0,0
"29","1980","Gobernación",4,5,"Ramos Administrativos",1,1450.9,5390,26.64,0.34461368805569,0.0927643784786642
"30","1980","Hacienda y Crédito Público",6,79.3,"Ramos Administrativos",1,1450.9,5390,26.64,5.46557309256324,1.47124304267161
"31","1980","Información Nacional Estadística y Geográfica",40,0,"Información Estadística y Geográfica",1,1450.9,5390,26.64,0,0
"32","1980","Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado",51,14.8,"Organismos y Empresas",1,1450.9,5390,26.64,1.02005651664484,0.274582560296846
"33","1980","Instituto Federal de Acceso a la Información y Protección de datos",44,0,"Ramos autónomos",1,1450.9,5390,26.64,0,0
"34","1980","Instituto Federal de Telecomunicaciones",43,0,"Ramos autónomos",1,1450.9,5390,26.64,0,0
"35","1980","Instituto Federal Electoral",22,0,"Ramos autónomos",1,1450.9,5390,26.64,0,0
"36","1980","Instituto Mexicano del Seguro Social",50,11.4,"Organismos y Empresas",1,1450.9,5390,26.64,0.785719208766972,0.211502782931354
