"year","clase","clase_texto","rr","rrC","ramo","mdp","tot","pct","gdpCorriente","invPctGdp","pctPib"
"1980","A","Ramos autónomos",1,1,"Poder Legislativo",0.7,1450.9,0.0482459163277965,5390,26.64,0.012987012987013
"1980","D","Ramos Administrativos",2,1,"Presidencia de la República",4.9,1450.9,0.337721414294576,5390,26.64,0.0909090909090909
"1980","A","Ramos autónomos",3,1,"Poder Judicial",1.2,1450.9,0.0827072851333655,5390,26.64,0.0222634508348794
"1980","D","Ramos Administrativos",4,1,"Gobernación",5,1450.9,0.34461368805569,5390,26.64,0.0927643784786642
"1980","D","Ramos Administrativos",5,1,"Relaciones Exteriores",2.6,1450.9,0.179199117788959,5390,26.64,0.0482374768089054
"1980","D","Ramos Administrativos",6,1,"Hacienda y Crédito Público",61.1,1450.9,4.21117926804053,5390,26.64,1.13358070500928
"1980","D","Ramos Administrativos",6,2,"Programación y Presupuesto",7.7,1450.9,0.530705079605762,5390,26.64,0.142857142857143
"1980","D","Ramos Administrativos",6,3,"Estimulos fiscales y otros",10.5,1450.9,0.723688744916948,5390,26.64,0.194805194805195
"1980","D","Ramos Administrativos",7,1,"Defensa Nacional",12.6,1450.9,0.868426493900338,5390,26.64,0.233766233766234
"1980","D","Ramos Administrativos",8,1,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",91.1,1450.9,6.27886139637466,5390,26.64,1.69016697588126
"1980","D","Ramos Administrativos",8,2,"Pesca",6.4,1450.9,0.441105520711283,5390,26.64,0.11873840445269
"1980","D","Ramos Administrativos",9,1,"Comunicaciones y Transportes",40,1450.9,2.75690950444552,5390,26.64,0.742115027829314
"1980","D","Ramos Administrativos",9,2,"Patrimonio y fomento industrial",86.8,1450.9,5.98249362464677,5390,26.64,1.61038961038961
"1980","D","Ramos Administrativos",10,1,"Economía",42.7,1450.9,2.94300089599559,5390,26.64,0.792207792207792
"1980","D","Ramos Administrativos",11,1,"Educación Pública",140,1450.9,9.64918326555931,5390,26.64,2.5974025974026
"1980","D","Ramos Administrativos",12,1,"Salud",19.6,1450.9,1.3508856571783,5390,26.64,0.363636363636364
"1980","D","Ramos Administrativos",13,1,"Marina",4.7,1450.9,0.323936866772348,5390,26.64,0.0871985157699443
"1980","D","Ramos Administrativos",14,1,"Trabajo y Previsión Social",2.6,1450.9,0.179199117788959,5390,26.64,0.0482374768089054
"1980","D","Ramos Administrativos",15,1,"Reforma Agraria",6.5,1450.9,0.447997794472396,5390,26.64,0.120593692022263
"1980","D","Ramos Administrativos",16,1,"Medio Ambiente y Recursos Naturales",NA,1450.9,NA,5390,26.64,NA
