clase,clase_text,rr,ramo,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
A,Ramos autónomos,01,Poder Legislativo,0.7,1.1,1.4,3.5,6.7,10.3,17.7,46.3,92.1,158.9,209.2,292,498.4,649.5,933.9,1055.2,1518.4,2059.9,2441.4,3268.9,3790.4,4398.702424,4896.926553,5575.986417,5438.986606,6355.918504,6914.776652,7523.702791,8978.59992,9404.951609,9549.963906,10210.2668,10987.2,11948,12381.6883,13648.3
D,Ramos Administrativos,02,Presidencia de la República,4.9,7,12.6,4.7,8.7,10.5,21.9,57.5,123.9,132.4,153.6,206.8,245.2,281.5,338.6,430.6,714,1027.4,1141.8,1227.7,1547,1756.2,1674.311,1661.78,1645.33132,1408.05962,1621.9132,1608.518781,1689.8851,1798.061366,1677.84066,1786.561557,1986.6,2104.5,2200.521844,2296.2
A,Ramos autónomos,03,Poder Judicial,1.2,1.8,2.6,5.3,11.1,19.5,34.5,102.9,239.9,280.8,443.5,682.6,911.7,1109.5,1409.6,1588.3,2273.9,3207.9,4692.3,6713.4,8075.8,13803.46575,15363.61091,17732.06451,19400.04991,21037.6474,23389.31294,25229.5139,29963.24998,32539.82049,34023.54022,38035.758,42582.8,46479.5,50241.56617,56269.1
D,Ramos Administrativos,04,Gobernación,5,8.6,10.1,12.3,31,42.2,49.9,134.8,314,428.5,708.7,806.7,1112.3,1562.9,1906.4,2531.2,3776.3,4979.1,6249.1,6603.2,9330.3,4918.134146,5070.887198,3990.376868,3818.01831,3422.375361,4737.913801,5083.252768,6736.899999,9594.007042,8370.632683,16386.14165,23637.5,62258.38705,75003.30037,77721.7
D,Ramos Administrativos,05,Relaciones Exteriores,2.6,3.5,6.7,14,20.2,30.6,62.9,161.4,260.8,368.3,414.8,564.7,631.9,723.7,921.6,1407.4,2071.4,2276.1,2593.3,3096,3137.7,3665.7363,3843.02,3444.219319,3424.05036,4034.554691,4510.938848,4836.030084,5348.2,5347.708811,5945.357103,5823.457503,6116.4,6947.4,7532.481603,8096.5
D,Ramos Administrativos,06,Hacienda y Crédito Público,61.1,102.7,126.7,257.3,288.4,408.3,663.4,1095.3,1988,2406.3,3803.3,2837.8,4394.4,5759.2,7206.3,10197,10639.5,14981.4,14250.9,18142.6,19585.8,20385.7,21930.28,21785.19689,23620.15131,26915.7365,27211.9457,34358.49999,36139,36683.34506,36456.34879,38992.52015,46233.6,45557,41882.33018,43935.1
D,Ramos Administrativos,,Programación y Presupuesto,7.7,11.8,17.2,23.8,39.6,58.8,83.5,216.4,451.3,717.3,1021.2,1247.1,225.8,,,,,,,,,,,,,,,,,,,,,,,
D,Ramos Administrativos,07,Defensa Nacional,12.6,23.4,34.8,67,137.1,221.5,353.8,779.4,1476.3,1963.8,2664.9,3660.5,4529.8,5444.7,7554.3,7860.1,11034.3,13281.1,14774.4,18776.7,20375.3,22424.626,22705.42,22831.4965,23332.7902,24002.17209,26031.9009,32200.89649,34861.0059,43623.32187,43632.41032,50039.45656,55611,60810.6,65236.94998,71269.7
D,Ramos Administrativos,08,"Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",91.1,132,173,218,339.5,497,728,1476.6,2173.6,3351.2,3873.6,5531.2,7579,7350,13457.9,15128.4,19652.7,21262,22286,21062.2,24849,31080.52427,35580.23,41782.67967,36373.34899,48396.08189,51020.68584,58384.69999,64447.29999,70705.38529,73368.45193,73821.34295,71378.3,75402.5,82900.44536,87762
D,Ramos Administrativos,,Pesca,6.4,12.2,13.1,21.2,29.3,43.5,56.7,86.1,135.2,153.9,185,310.6,303.7,326.5,378.2,,,,,,,,,,,,,,,,,,,,,
D,Ramos Administrativos,09,Comunicaciones y Transportes,40,65.8,99.8,232.1,404.7,576.6,836.5,1973.1,2354.9,2580.5,3165.5,5192.1,5551.9,7299.5,10675.2,10078.2,14913,37136.6,16789,18554.2,17092.6,18904.4,23107.00446,23124.30534,22746.43954,36694.43461,33687.15841,39168.19999,58279.29829,72484.91564,80262.78671,86420.55925,85544,86243.9,118832.3799,120757.4
D,Ramos Administrativos,10,Economía,42.7,63.3,96.5,166.4,395.7,521.8,781.3,1455.1,2216.3,4275.6,5888.2,5009.6,5246.9,7366.3,7109.9,1192.6,1323.7,1989.9,1908.2,2267.2,2771.3,4989,6425.959,5403.508549,5379.959878,7017.581934,7618.589801,8233.128565,10806.9,14153.3751,14354.73807,16507.30416,18622.9,20383.3,21183.71349,21908.1
D,Ramos Administrativos,,Patrimonio y fomento industrial,86.8,117.4,170.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,Ramos Administrativos,11,Educación Pública,140,220.4,368.6,486.9,826.7,1332,2112.7,5034.3,10120.1,12998.3,17702.4,25039.3,34998.5,22972.3,27610.9,34600.6,46539.7,51909.8,62971,73102.6,83436.2,97568.57805,110376.5406,106355.088,113414.104,127668.3978,137590.4327,151963.4,173497.8,200930.5577,211186.1591,230684.5507,251764.6,260277.2,292548.7772,305741.6
D,Ramos Administrativos,12,Salud,19.6,28.4,45.3,60.6,102.6,169.6,308.8,737.4,1527.8,1884.7,2489.7,3670.8,4597.3,5323.8,6285.3,7703.6,10641.5,20286.6,12372,14207.2,18321.7,19278.1,21995.77,20866.97147,20973.04542,34024.45402,42355.50604,55583.15586,69426.09999,85036.46817,89892.93094,105313.8966,113479.7,121856.6,130264.7617,134928.4
D,Ramos Administrativos,13,Marina,4.7,7,10.6,20.2,36.1,75.3,111.2,263.9,600.7,701.6,915.7,1147.2,1481,1766.7,2079.2,2507.7,3602.2,2024.5,6175.8,7038.5,7959.2,8873.4,8518.47,8899.171701,8488.20933,8636.421792,9163.510802,10951.3211,13382.7461,16059.28111,15991.8692,18270.17744,19679.7,21864.9,24602.68118,27024.5
D,Ramos Administrativos,14,Trabajo y Previsión Social,2.6,7,8,6,11.4,18,27.9,64.8,130.8,162.1,215.2,291.4,328.4,384.6,507.1,662,905.1,1988,2254.8,2730.3,3344.4,3803.44,3563.6,3150.708379,3327.84599,3185.340061,3262.139501,3234.715602,3419.5465,4090.68011,3677.865915,3704.657374,4416.8,4474.9,4903.50294,5384.6
D,Ramos Administrativos,15,Reforma Agraria,6.5,8.9,10.8,20.7,32.6,41.8,54.6,122.8,233.6,225.8,331.2,415.6,1120.5,1563.8,1646.8,1368.7,2926.8,1777.4,1630.2,1400.3,1657.1,1855.01,2212.48,2758.759556,2806.12047,4856.220731,4435.598901,4772.299999,5272.7889,5804.348634,5195.123146,5606.676171,5707.4,5867.8,26590.50242,21825.9
D,Ramos Administrativos,16,Medio Ambiente y Recursos Naturales,,,,,,,,,,,,,,,,4806.1,7510.5,10136.5,12773.7,14003,14269.5,14400.45853,14852.94,17404.21706,16008.17292,24482.86486,21342.82347,29006.27538,39064.6082,45059.84339,46236.20244,51222.02376,54717.7,56471.2,66227.58824,67176.7
